id,Problem_tag_1,Problem_tag_2,Problem_tag_3,Problem_tag_4,Solved,Problem Rating
,,,,,,
2123G,brute force,data structures,greedy,math,x1046,
2123F,constructive algorithms,number theory,,,x4419,
2123E,binary search,data structures,greedy,sortings,x7633,
2123D,constructive algorithms,games,greedy,,x12348,
2123C,brute force,data structures,,,x19142,
2123B,greedy,,,,x22312,
2123A,math,,,,x26951,
2121H,binary search,brute force,data structures,dp,x1076,2300
2121G,data structures,divide and conquer,math,sortings,x2731,1900
2121F,binary search,brute force,data structures,greedy,x4586,1800
2121E,dp,greedy,implementation,strings,x8888,1500
2121D,implementation,sortings,,,x12368,1300
2121C,greedy,greedy,implementation,,x14964,1200
2121B,constructive algorithms,greedy,strings,,x25305,800
2121A,brute force,math,,,x29787,800
2120G,graphs,greedy,math,,x53,3000
2120F,2-sat,graphs,,,x174,2600
2120E,binary search,dp,ternary search,,x1067,2300
2120D,combinatorics,math,,,x3707,1800
2120C,constructive algorithms,greedy,math,sortings,x8084,1400
2120B,geometry,,,,x12738,1000
2120A,geometry,math,,,x15076,800
2118F,data structures,graphs,hashing,trees,x150,3100
2118E,constructive algorithms,geometry,greedy,math,x918,2400
2118D2,binary search,brute force,data structures,dfs and similar,x1542,2200
2118D1,brute force,dfs and similar,dp,graphs,x4950,1700
2118C,bitmasks,data structures,greedy,math,x14040,1300
2118B,constructive algorithms,,,,x15583,1200
2118A,constructive algorithms,greedy,,,x24199,800
2117H,data structures,divide and conquer,sortings,,x518,2500
2117G,brute force,dsu,graphs,greedy,x3101,1900
2117F,combinatorics,dfs and similar,trees,,x4042,1800
2117E,brute force,greedy,,,x8468,1600
2117D,binary search,math,number theory,,x16632,1200
2117C,data structures,greedy,,,x15994,1200
2117B,constructive algorithms,,,,x26392,800
2117A,greedy,implementation,,,x30324,800
2116B,greedy,math,sortings,,x13810,1300
2116A,games,greedy,,,x22871,800
2115F2,data structures,,,,x43,3500
2115F1,data structures,,,,x40,3500
2115E,dp,graphs,,,x121,3500
2115D,bitmasks,dp,games,greedy,x474,2900
2115C,combinatorics,dp,greedy,math,x544,2700
2115B,brute force,constructive algorithms,dfs and similar,dp,x2668,2100
2115A,constructive algorithms,dp,math,number theory,x10473,1500
2114G,brute force,constructive algorithms,dp,greedy,x1389,2200
2114F,binary search,brute force,dfs and similar,dp,x3861,2000
2114E,dfs and similar,dp,greedy,trees,x10156,1400
2114D,brute force,greedy,implementation,math,x11437,1400
2114C,dp,greedy,,,x24607,1000
2114B,greedy,math,,,x24752,900
2114A,binary search,brute force,math,,x34425,800
2113F,constructive algorithms,dfs and similar,graphs,math,x502,2500
2113E,dfs and similar,graphs,implementation,trees,x215,2800
2113D,binary search,constructive algorithms,greedy,implementation,x1729,2200
2113C,brute force,constructive algorithms,greedy,,x5388,1700
2113B,constructive algorithms,math,,,x10182,1200
2113A,greedy,math,,,x15790,800
2112F,graphs,greedy,shortest paths,,x307,2800
2112E,combinatorics,dfs and similar,dp,graphs,x1922,2200
2112D,constructive algorithms,dfs and similar,graphs,trees,x5973,1700
2112C,binary search,brute force,greedy,two pointers,x12200,1300
2112B,brute force,greedy,,,x15332,1100
2112A,implementation,math,,,x22213,800
2111G,binary search,bitmasks,brute force,data structures,x231,2900
2111F,brute force,constructive algorithms,greedy,math,x1047,2400
2111E,binary search,data structures,greedy,implementation,x4082,1900
2111D,constructive algorithms,data structures,greedy,implementation,x9345,1400
2111C,brute force,greedy,two pointers,,x15174,1100
2111B,brute force,dp,implementation,math,x14360,1100
2111A,greedy,implementation,math,,x17915,800
2110F,brute force,greedy,math,number theory,x1310,2400
2110E,dfs and similar,graphs,implementation,,x1597,2300
2110D,binary search,dfs and similar,dp,graphs,x6218,1700
2110C,constructive algorithms,greedy,,,x12162,1400
2110B,strings,,,,x21338,900
2110A,implementation,sortings,,,x24912,800
2109F,binary search,dfs and similar,flows,graphs,x177,3000
2109E,combinatorics,dp,strings,,x1017,2400
2109D,dfs and similar,graphs,greedy,shortest paths,x3918,1900
2109C3,constructive algorithms,interactive,math,number theory,x2455,2600
2109C2,constructive algorithms,interactive,math,number theory,x6784,1700
2109C1,bitmasks,constructive algorithms,interactive,math,x8911,1500
2109B,bitmasks,greedy,math,,x14369,1200
2109A,implementation,,,,x23163,800
2108F,binary search,greedy,,,x353,2900
2108E,constructive algorithms,dfs and similar,graphs,greedy,x563,2600
2108D,binary search,brute force,implementation,interactive,x1951,2200
2108C,binary search,brute force,data structures,dp,x11200,1500
2108B,bitmasks,constructive algorithms,greedy,implementation,x11932,1300
2108A,combinatorics,greedy,math,,x19245,800
2107F2,binary search,brute force,data structures,dp,x316,2800
2107F1,binary search,brute force,dp,greedy,x1379,2300
2107E,binary search,constructive algorithms,greedy,math,x600,2600
2107D,brute force,dfs and similar,greedy,implementation,x2816,2100
2107C,binary search,constructive algorithms,dp,implementation,x9219,1500
2107B,games,greedy,math,,x16314,1100
2107A,greedy,number theory,,,x19288,800
2106G2,binary search,dfs and similar,divide and conquer,implementation,,2500
2106G1,binary search,constructive algorithms,divide and conquer,greedy,x1279,2200
2106F,dfs and similar,dp,dsu,greedy,x3334,1900
2106E,binary search,greedy,math,,x4718,1800
2106D,binary search,dp,greedy,two pointers,x9578,1500
2106C,greedy,math,sortings,,x20891,1000
2106B,constructive algorithms,greedy,math,,x23659,900
2106A,brute force,math,,,x31143,800
2104G,data structures,divide and conquer,dsu,graphs,x346,2700
2104F,binary search,brute force,dfs and similar,dp,x541,2600
2104E,binary search,dp,greedy,strings,x6282,1700
2104D,binary search,greedy,math,number theory,x10423,1400
2104C,brute force,constructive algorithms,games,greedy,x14426,1100
2104B,brute force,data structures,dp,greedy,x16663,1000
2104A,math,,,,x21777,800
2103F,bitmasks,data structures,dp,implementation,x478,2600
2103E,constructive algorithms,implementation,two pointers,,x431,2600
2103D,constructive algorithms,dfs and similar,implementation,two pointers,x3195,2000
2103C,binary search,greedy,implementation,sortings,x8524,1600
2103B,greedy,math,,,x15102,1100
2103A,brute force,greedy,implementation,math,x21974,800
2102B,implementation,sortings,,,x16092,900
2102A,constructive algorithms,math,,,x17494,900
2101F,combinatorics,dp,trees,,x90,3300
2101E,data structures,dp,greedy,trees,x174,3100
2101D,data structures,implementation,sortings,two pointers,x718,2500
2101C,binary search,brute force,data structures,greedy,x1669,2200
2101B,brute force,data structures,divide and conquer,greedy,x5381,1800
2101A,constructive algorithms,implementation,,,x11164,1300
2098B,math,sortings,,,x6013,1400
2098A,brute force,greedy,,,x12230,800
2097F,dp,flows,,,x75,3500
2097E,data structures,dfs and similar,dp,greedy,x142,3100
2097D,bitmasks,math,matrices,,x349,2800
